County,Date,pH,Mg,Cu,Co
Carlow,April 1984,0.4676150109,0.6706999686,0.0562700861,2.9093457085
Carlow,August 2004,3.6415181675,1.2510033409,0.0008397104,3.2148604844
Carlow,March 1971,1.0243019667,1.1947293727,0.0002826562,3.8746610078
Carlow,March 2001,9.6088580761,1.1979594942,0.0901799708,2.7797798288
Carlow,November 1980,3.2519496126,0.21991553,0.063386593,3.6302989977
Carlow,June 1995,6.0038652842,0.7215763001,0.0242245959,0.0056655678
Carlow,August 1987,9.5915519894,1.2766239381,0.0197872682,4.5457553689
Carlow,February 1978,0.6460658446,0.0075424246,0.0219116412,1.0982423364
Carlow,July 1997,11.3220403333,0.2941988693,0.0428410832,1.1699623004
Carlow,February 1986,8.6416474534,1.0903604469,0.0150350553,2.4014930784
Carlow,April 2002,8.4367195164,0.8517159612,0.0081938582,4.4334950336
Carlow,October 2005,5.6341889856,0.8082096027,0.0816612672,0.8608386734
Carlow,March 1970,2.5503996679,1.4376199973,0.0332501839,2.3622851247
Carlow,October 1997,2.5529326461,1.1522820986,0.0866460368,2.0795608335
Carlow,August 2016,3.9743235017,0.095723383,0.0884687404,1.0528345151
Carlow,December 1983,2.5017462682,1.1147766255,0.0044019067,1.1580966917
Carlow,July 1989,1.7333122797,0.9136652995,0.0383970478,4.2240941341
Carlow,July 1984,13.7375289292,0.5594111835,0.0773433629,2.5530598039
Carlow,March 1990,6.612560405,0.3332798582,0.0313272858,4.3161600668
Carlow,July 2018,2.0288766224,0.9079587728,0.0116970606,1.0658492866
Carlow,December 2006,13.9491136783,0.1182722115,0.0321646695,3.222812033
Carlow,March 1984,11.9580757622,0.4386396212,0.0486942177,0.912836519
Carlow,October 1973,7.8395665497,0.4919591355,0.0364738535,2.1963583179
Carlow,July 1970,9.8127380359,0.8692651304,0.0164284743,0.4717921452
Carlow,January 1976,0.0527878079,0.8086371409,0.0123678028,3.8080587942
Carlow,August 2009,13.1550434588,0.4586856912,0.0484948404,2.0277575791
Carlow,April 1995,6.7376263891,0.3365309503,0.0318943623,0.7651087273
Carlow,January 1990,0.252910243,0.1420311034,0.0119091949,2.9827756902
Carlow,July 1971,12.5574265623,1.3150776331,0.0389591368,4.4160639303
Carlow,April 1974,3.0332065537,1.4556428053,0.0549089779,0.58544213
Carlow,April 2007,12.5594717435,0.7040166411,0.040209517,2.5858023547
Carlow,June 2011,6.6017220794,1.4730101701,0.0028358663,0.5515405078
Carlow,September 2016,5.4633810028,0.3863570268,0.0123572116,3.9047085009
Carlow,September 2004,3.6241775782,1.1089068842,0.0049689059,0.3508160996
Clare,April 2009,9.8035308633,0.4306168871,0.0588729944,4.651101527
Clare,January 1998,7.1438063237,0.1681517247,0.0189027349,0.0300248542
Clare,April 1997,0.8811738026,1.449621553,0.0249965135,3.3861251141
Clare,August 2005,12.5685724005,0.9298143378,0.0226688319,4.8302951335
Clare,July 2002,6.1734810788,1.1861081845,0.0475909825,2.7265700847
Clare,June 1970,6.7291919234,1.2427283974,0.0421578579,3.950850123
Clare,September 2003,11.767156226,0.8879450528,0.0822296613,3.1377322262
Clare,June 1971,11.5812605132,0.7091357846,0.0222478992,1.3665711267
Clare,March 1976,12.3301239704,0.3912917705,0.038460434,3.8400642242
Clare,March 1972,13.7576361671,1.2096079848,0.0373405545,3.2004619648
Clare,April 2010,2.4300176191,1.2376401705,0.0856588525,1.2520443589
Clare,February 2014,13.4627943951,0.5500777242,0.0118249711,0.6310450548
Clare,November 1995,12.7951469915,0.7814572007,0.0954919153,0.8425242742
Clare,April 1999,7.4385129589,1.4796120725,0.0217729689,2.3834279095
Clare,December 1976,0.7031822728,0.6437037479,0.0754620223,2.8050098451
Clare,February 2017,13.7910716481,1.1458380121,0.0519344513,3.4699965198
Clare,January 1999,11.0577736926,0.1627214413,0.0442369899,1.4235435544
Clare,January 1992,3.6711584829,1.2735568723,0.0251045131,2.2529356525
Clare,October 2001,3.3249362655,1.2411248958,0.0324482589,0.9630602181
Clare,June 2005,1.9231063775,0.1800545759,0.021818251,1.4575341665
Clare,October 2014,3.4566991397,1.4999533225,0.0777185253,3.2069546344
Clare,April 1970,0.7599346591,1.3765305517,0.0091789291,1.0701833254
Clare,June 1989,11.7457748451,0.6887800534,0.0598195286,2.4689391987
Clare,June 1987,2.5371500603,0.8127376875,0.0309905733,0.3073792801
Clare,March 1990,12.9880682616,0.3715980365,0.0651408671,0.5289550518
Clare,September 2006,9.4392496402,0.0910989818,0.0192400774,3.5908588052
Clare,December 2010,0.4800060447,1.0011326262,0.041599041,3.5445802651
Clare,March 1983,13.6305025292,0.6481382673,0.0814830274,4.8762513728
Clare,August 1991,11.5175103052,1.3147300407,0.003908886,1.98014452
Clare,April 2008,0.472190291,0.9640337174,0.076505927,1.3605120778
Clare,November 1993,13.4460856787,1.2845671954,0.0665480871,4.8664399349
Clare,April 2002,13.4982912154,1.1227075033,0.0307296177,2.6674450279
Clare,July 1981,5.7782414435,0.3616323472,0.0500792567,1.5251254935
Clare,March 2014,7.8431779514,0.5179949546,0.0441098717,4.1979974074
Cork,February 2013,8.503585493,0.8390498695,0.0050257898,1.4749892046
Cork,April 1996,5.6766655601,0.4470069699,0.0227305776,4.8224985309
Cork,March 2014,13.4060651766,0.9695214751,0.0611804652,4.5132493937
Cork,April 1974,9.6111762935,1.2924151479,0.0621318264,1.3431725734
Cork,July 1974,0.9854040417,1.2452108632,0.0992470065,1.8637579313
Cork,September 2010,0.4139967435,1.2536395695,0.0650458523,4.6335156567
Cork,September 1973,4.3970954875,0.1826154253,0.0074146203,3.6541366642
Cork,July 1970,7.2968919439,1.0964315935,0.0821519631,1.6526494973
Cork,July 1974,8.5434214407,0.4335251484,0.0756898966,2.1696069419
Cork,June 1981,12.7286970536,1.1654098787,0.020611644,3.3892233193
Cork,August 1992,3.8707257075,1.2468995734,0.0791119076,4.5517322079
Cork,February 1993,8.0612810151,1.1444094995,0.0596263939,4.2349388689
Cork,March 2005,4.8035152451,0.4895029462,0.0646319287,0.2905768953
Cork,March 2010,1.7942977044,0.1821692999,0.0303183172,2.8400929207
Cork,October 1974,7.61839163,0.5918272846,0.002979195,2.1668064854
Cork,October 2000,8.3505430124,1.1085502714,0.0996167617,1.4570150525
Cork,September 1970,9.772237442,1.4217966056,0.0116897266,2.6687302359
Cork,April 1980,11.6108097325,1.157035949,0.0494484991,0.8609308539
Cork,December 2007,12.502663199,0.3777757273,0.0974224366,4.3235593172
Cork,December 1973,11.0928597597,1.3153529226,0.0566890126,3.2995397924
Cork,March 1992,2.814717431,0.9148513823,0.0187491546,2.4773647198
Cork,March 1973,13.2550227588,0.2710741595,0.0708260771,2.768149897
Cork,July 2013,2.1660141868,1.4062117271,0.0326919952,0.6594390362
Cork,March 1988,13.1738746912,0.2502099802,0.0468702146,0.7226812145
Cork,October 1992,5.6740622809,0.5945417596,0.0570297812,1.6465884756
Cork,January 1977,6.1977776985,0.9337914894,0.0045670059,1.5586339759
Cork,June 2004,9.9448010811,1.1302340316,0.0193168263,2.9075703296
Cork,January 2017,5.6707213631,0.3390285699,0.0908021323,3.3402541979
Cork,April 1999,10.3034738243,1.1350314516,0.0507694397,0.2667462443
Cork,July 1975,8.8321750504,1.2798290693,0.072897932,3.5503154679
Cork,March 2008,7.2839322188,0.0566002221,0.0147059666,2.080996704
Cork,March 1992,12.5207257006,1.3706743263,0.0005247686,1.8082070105
Cork,March 2017,3.0341827912,1.0425862853,0.0156994386,3.1459912157
Cork,April 2011,11.6319109276,0.5734939425,0.0148668485,0.8780970778
Donegal,December 1996,12.8141564772,0.3354307544,0.0264664414,2.3894416209
Donegal,September 1986,3.1282715916,1.1242018515,0.0732409978,3.0796667612
Donegal,October 2009,4.7420673875,0.0581916412,0.0453935469,3.8421905511
Donegal,November 1974,6.7523185924,1.3831350563,0.0735484899,3.6885736869
Donegal,December 1982,5.7350318948,0.7001677037,0.0476288645,1.1172992621
Donegal,September 1974,6.9242192947,0.5604359675,0.0111925285,0.9698119576
Donegal,March 1970,3.040599458,0.4310980079,0.0053784374,4.2240545333
Donegal,January 1978,6.0486250812,0.16040106,0.0765991223,0.274994878
Donegal,February 1989,9.9798495191,0.7471459779,0.0042465669,4.2329432415
Donegal,October 1988,7.018458353,0.2764395289,0.0904765504,3.2782708484
Donegal,April 2006,1.1674072266,1.2971192433,0.0922853302,0.4003854745
Donegal,June 1985,7.8242517851,0.3810436268,0.0074710944,1.327481302
Donegal,June 1976,9.8024723271,0.3436355048,0.0319023327,3.4036183227
Donegal,June 1982,7.4165210434,0.538205602,0.0104144576,4.2366641124
Donegal,April 1989,7.5844401461,0.4249393438,0.086785031,1.6946776984
Donegal,March 2010,4.4929266511,0.7457803147,0.0750973053,1.3549420129
Donegal,August 2003,10.2829879984,0.0942091779,0.0210020906,3.8304864508
Donegal,April 2012,3.1727160778,0.4650059464,0.0793508794,0.9403412702
Donegal,September 1988,9.6985633358,0.677654245,0.0256051481,4.2980760373
Donegal,July 1976,10.9996670455,0.3687192515,0.0170465372,4.4783797262
Donegal,April 2017,7.5081369058,0.3183095333,0.0174735232,3.4682735675
Donegal,August 2017,1.3581327751,0.615193813,0.0393253903,0.8875525609
Donegal,December 1980,13.6096667883,1.132112485,0.0894660855,3.3603511575
Donegal,August 2007,5.9447342592,0.9439938013,0.089998681,3.326291753
Donegal,March 1999,0.8633688268,0.2755187536,0.0070478135,3.884209415
Donegal,August 2013,0.1994930321,0.0945099166,0.0830750408,3.2552598982
Donegal,February 2015,5.4706170559,0.2098709825,0.0781430876,3.0678999617
Donegal,June 1993,6.7721501292,0.1820053931,0.0023622615,1.5106504974
Donegal,June 1973,1.2455610057,1.3371175367,0.0533354243,4.4570738406
Donegal,June 1981,6.3985677402,1.2990785911,0.0187372913,0.1919063902
Donegal,June 1995,13.8045186906,1.1218514911,0.007299091,1.9136150302
Donegal,March 2018,2.4411900172,0.1221524808,0.092700218,3.4010154543
Donegal,April 1973,11.9027013022,1.4723982287,0.0102346394,3.5073725225
Donegal,March 1999,7.2308255349,1.4497321029,0.0823257684,4.6523122162
Dublin,March 2013,12.1545939314,0.9220662167,0.0833198618,2.3947255742
Dublin,September 2007,7.0443983106,1.2376444748,0.0829741054,3.0565012957
Dublin,March 1989,8.768734059,0.4787778876,0.0011690523,3.4808670661
Dublin,April 1986,6.1588352628,1.2389033404,0.0799313614,1.907814887
Dublin,January 1971,1.8154317284,0.6081053197,0.0345822541,4.8383952822
Dublin,December 2001,8.06515972,0.7369355158,0.0535278651,0.7703813628
Dublin,November 1990,8.0631136054,0.2202492909,0.0968341946,2.3308393995
Dublin,March 2013,12.0976260584,0.2696125209,0.0025298498,1.1907937562
Dublin,July 2004,3.4192558515,0.0168482944,0.0457554776,3.3126351586
Dublin,January 1996,13.9964942895,0.2794496111,0.0570464338,2.867528544
Dublin,January 1980,11.6442289777,0.6809697095,0.080792902,1.2315710488
Dublin,April 2016,4.2509082224,1.4355746381,0.0012266473,0.2621814477
Dublin,October 2007,8.4788066391,1.3722897946,0.0175561913,4.2456546117
Dublin,August 1994,4.5402153626,0.1855693376,0.0694542723,4.4385618555
Dublin,August 1986,9.1378092192,0.650200199,0.0782031763,3.2863000566
Dublin,March 2011,11.9057440417,1.3592191406,0.084549171,2.9621881778
Dublin,July 2001,5.6508014401,0.2220551124,0.0839961946,4.9044048455
Dublin,March 1984,4.1509109847,0.2908803865,0.05879696,0.4711530459
Dublin,July 2014,9.4429774568,0.9977934238,0.0841353196,2.0366838304
Dublin,February 1994,12.5888556765,1.2946507568,0.0792977208,3.9950999256
Dublin,June 1974,5.3220592362,0.7021161034,0.0785397431,2.3476333172
Dublin,October 2002,13.5112761066,1.3315338134,0.0092381578,4.06217131
Dublin,January 1982,3.1940390895,1.1031901023,0.0223125712,3.8554207142
